class,predicate,distinct_objects,total_objects,uniqueness
Species,order,1637,123629,0.013241
Person,1a,1626,2155,0.754524
Person,2a,1626,2186,0.743824
Species,1a,1626,2155,0.754524
Species,2a,1626,2186,0.743824
AdministrativeRegion,capital,1625,2043,0.795399
Galaxy,z,1612,1746,0.923253
Person,elected,1608,1921,0.837064
Species,elected,1608,1921,0.837064
Species,sire,1607,4244,0.378652
AdministrativeRegion,imageCoa,1607,1624,0.989532
Person,instrument,1601,28375,0.056423
Species,instrument,1601,28375,0.056423
Person,sport,1589,85559,0.018572
Species,sport,1589,85559,0.018572
Star,component,1570,2633,0.596278
AdministrativeRegion,change,1566,2253,0.695073
AdministrativeRegion,julPrecipitationMm,1563,2356,0.663413
Person,significantProject,1561,1720,0.907558
Person,trainer,1561,4870,0.320534
Species,significantProject,1561,1720,0.907558
Person,consecrationDate,1559,1644,0.948297
Species,consecrationDate,1559,1644,0.948297
Person,apprehended,1556,1828,0.851204
Species,apprehended,1556,1828,0.851204
Species,fmmm,1555,3695,0.420839
Galaxy,names,1551,1622,0.956227
AdministrativeRegion,emeritusBishops,1550,1669,0.928700
AdministrativeRegion,dist,1539,11299,0.136207
Person,posthumousName,1530,2037,0.751105
Species,posthumousName,1530,2037,0.751105
Species,footer,1520,1546,0.983182
Person,nobleFamily,1516,4924,0.307880
Person,skatingClub,1516,2713,0.558791
Species,nobleFamily,1516,4924,0.307880
Species,skatingClub,1516,2713,0.558791
Person,formerPartner,1514,1906,0.794334
Species,formerPartner,1514,1906,0.794334
Person,billed,1506,2534,0.594317
Species,billed,1506,2534,0.594317
AdministrativeRegion,synonym,1505,1621,0.928439
Person,footer,1499,1522,0.984888
Species,filename,1484,1533,0.968037
Person,afl,1480,1483,0.997977
Person,filename,1480,1529,0.967953
Species,afl,1480,1483,0.997977
Species,ff,1480,6672,0.221823
AdministrativeRegion,augPrecipitationMm,1478,2354,0.627867
Person,conviction,1474,6002,0.245585
Species,conviction,1474,6002,0.245585
Person,majorShrine,1464,2086,0.701822
Person,majorShrine,1464,1623,0.902033
Species,majorShrine,1464,2086,0.701822
Species,majorShrine,1464,1623,0.902033
Person,schoolTradition,1463,4712,0.310484
Species,schoolTradition,1463,4712,0.310484
AdministrativeRegion,junPrecipitationMm,1462,2354,0.621071
Person,highestsinglesranking,1460,7751,0.188363
Species,highestsinglesranking,1460,7751,0.188363
Person,tournamentRecord,1459,2840,0.513732
Species,tournamentRecord,1459,2840,0.513732
AdministrativeRegion,areaCode,1458,4773,0.305468
Person,retired,1457,13441,0.108400
Species,retired,1457,13441,0.108400
Person,first,1456,5713,0.254857
Person,ruClubupdate,1456,3046,0.478004
Species,first,1456,5715,0.254768
Species,ruClubupdate,1456,3046,0.478004
Person,fec,1454,1461,0.995209
Species,fec,1454,1461,0.995209
AdministrativeRegion,enName,1448,1563,0.926424
Person,weight,1439,97039,0.014829
Person,leader,1439,4362,0.329895
Species,weight,1439,97039,0.014829
Species,leader,1439,4362,0.329895
Star,radius,1436,3174,0.452426
AdministrativeRegion,otherName,1424,1498,0.950601
Star,mass,1423,4189,0.339699
AdministrativeRegion,pop2010census,1412,1434,0.984658
Person,institutions,1408,2956,0.476319
Species,institutions,1408,2956,0.476319
Species,grandsire,1395,5229,0.266781
AdministrativeRegion,ruName,1390,1516,0.916887
Person,footnotes,1385,1928,0.718361
Person,highestdoublesranking,1385,7074,0.195787
Species,footnotes,1385,1928,0.718361
Species,highestdoublesranking,1385,7074,0.195787
AdministrativeRegion,admCtrName,1382,1425,0.969825
Species,fmf,1381,3945,0.350063
Species,otherarticle,1380,1382,0.998553
Person,otherarticle,1372,1374,0.998544
Person,nativeNameLang,1367,27467,0.049769
Species,nativeNameLang,1367,27467,0.049769
Person,weight,1355,44411,0.030510
Species,weight,1355,44411,0.030510
Person,suboffice,1354,5485,0.246855
Species,suboffice,1354,5485,0.246855
Person,adminTeam,1345,3202,0.420050
Species,adminTeam,1345,3202,0.420050
Person,parliament,1340,10402,0.128821
Species,parliament,1340,10402,0.128821
AdministrativeRegion,imageMapCaption,1338,1547,0.864900
Species,damsire,1336,3520,0.379545
Person,escutcheon,1335,1588,0.840680
Species,escutcheon,1335,1588,0.840680
Species,mff,1333,3943,0.338067
Species,owner,1329,3546,0.374788
Person,ruNtupdate,1323,2750,0.481091
Species,ruNtupdate,1323,2750,0.481091
Person,university,1312,4232,0.310019
Species,university,1312,4232,0.310019
Person,aflstatvalue,1310,4438,0.295178
Species,aflstatvalue,1310,4438,0.295178
Species,mfmf,1310,3695,0.354533
Person,imageCaption,1309,1333,0.981995
