value,yago-4,yago-4.5.0.2,relative_change
nodes/http://yago-knowledge.org/resource/Jocelyn_Bell_Burnell_Medal_and_Prize/rank_shift,-17.000000,66.000000,4.882353
nodes/http://yago-knowledge.org/resource/Julia_Higgins_Medal_Q65008324/rank_shift,-17.000000,66.000000,4.882353
nodes/http://yago-knowledge.org/resource/Robin_Perrin_Award_Q56692352/rank_shift,-17.000000,66.000000,4.882353
nodes/http://yago-knowledge.org/resource/Söndrum_Q18227824/rank_shift,-12.000000,46.000000,4.833333
nodes/http://yago-knowledge.org/resource/German_Reich/unweighted,0.165874,0.965823,4.822627
nodes/http://yago-knowledge.org/resource/Wimpole_Street/rank_shift,87.000000,505.000000,4.804598
nodes/http://yago-knowledge.org/resource/Czech_Republic/entropy_weighted,0.159627,0.919976,4.763303
nodes/http://yago-knowledge.org/resource/Finland/unweighted,0.170239,0.973998,4.721370
nodes/http://yago-knowledge.org/resource/Halmstad/rank_weighted,213.000000,1210.000000,4.680751
nodes/http://yago-knowledge.org/resource/Weimar/rank_weighted,171.000000,959.000000,4.608187
nodes/http://yago-knowledge.org/resource/Istanbul/entropy_weighted,0.154437,0.860613,4.572565
nodes/http://yago-knowledge.org/resource/Ecuador/rank_shift,-11.000000,39.000000,4.545455
nodes/http://yago-knowledge.org/resource/Opole_Voivodeship/rank_unweighted,92.000000,509.000000,4.532609
nodes/http://yago-knowledge.org/resource/Ruth_Padel/rank_shift,115.000000,635.000000,4.521739
nodes/http://yago-knowledge.org/resource/German_Commission_for_UNESCO/rank_shift,8.000000,44.000000,4.500000
nodes/http://yago-knowledge.org/resource/Government_of_Amsterdam/rank_shift,22.000000,121.000000,4.500000
nodes/http://yago-knowledge.org/resource/Elfriede_Knauer/rank_shift,109.000000,594.000000,4.449541
nodes/http://yago-knowledge.org/resource/Saint_Petersburg/unweighted,0.163397,0.879746,4.384114
nodes/http://yago-knowledge.org/resource/International_Telecommunication_Union/unweighted,1.123739,5.989666,4.330121
nodes/http://yago-knowledge.org/resource/Eleni-Alexandra_Amburger_Q20800727/rank_shift,124.000000,660.000000,4.322581
nodes/http://yago-knowledge.org/resource/Göttingen/unweighted,0.171709,0.908625,4.291651
nodes/http://yago-knowledge.org/resource/Spain/entropy_weighted,0.279629,1.479213,4.289903
nodes/http://yago-knowledge.org/resource/Eurocontrol/unweighted,0.604698,3.171253,4.244354
nodes/http://yago-knowledge.org/resource/Estonia/unweighted,0.170239,0.888346,4.218244
